1,MID,1,1
2,MID,2,1
3,MID,3,1
4,RUC,4,1
5,MID,5,1
6,MID,6,1
7,MID,7,1
8,MID,8,1
9,MID,9,1
10,RUC,10,1
11,MID,11,1
12,MID,12,1
13,MID,13,1
14,MID,14,2
14,MID,15,2
13,MID,16,2
12,RUC,17,2
11,MID,18,2
10,MID,19,2
9,FWD,20,2
8,MID,21,2
7,FWD,22,2
6,DEF,23,2
5,MID,24,2
4,DEF,25,2
3,MID,26,2
2,RUC,27,2
1,RUC,28,3
1,MID,29,3
2,MID,30,3
3,MID,31,3
4,MID,32,3
5,MID,33,3
6,RUC,34,3
7,MID,35,3
8,MID,36,3
9,MID,37,3
10,FWD,38,3
11,RUC,39,3
12,MID,40,3
13,FWD,41,3
14,DEF,42,4
14,MID,43,4
13,FWD,44,4
12,FWD,45,4
11,FWD,46,4
10,MID,47,4
9,MID,48,4
8,FWD,49,4
7,FWD,50,4
6,MID,51,4
5,DEF,52,4
4,MID,53,4
3,FWD,54,4
2,DEF,55,4
1,DEF,56,5
1,MID,57,5
2,MID,58,5
3,FWD,59,5
4,MID,60,5
5,MID,61,5
6,MID,62,5
7,DEF,63,5
8,MID,64,5
9,DEF,65,5
10,MID,66,5
11,DEF,67,5
12,DEF,68,5
13,MID,69,5
14,RUC,70,6
14,FWD,71,6
13,MID,72,6
12,FWD,73,6
11,MID,74,6
10,MID,75,6
9,FWD,76,6
8,MID,77,6
7,MID,78,6
6,FWD,79,6
5,MID,80,6
4,FWD,81,6
3,FWD,82,6
2,DEF,83,6
1,FWD,84,7
1,DEF,85,7
2,MID,86,7
3,FWD,87,7
4,MID,88,7
5,DEF,89,7
6,DEF,90,7
7,MID,91,7
8,RUC,92,7
9,FWD,93,7
10,DEF,94,7
11,DEF,95,7
12,DEF,96,7
13,MID,97,7
14,DEF,98,8
14,FWD,99,8
13,RUC,100,8
12,RUC,101,8
11,RUC,102,8
10,FWD,103,8
9,DEF,104,8
8,MID,105,8
7,RUC,106,8
6,MID,107,8
5,FWD,108,8
4,MID,109,8
3,RUC,110,8
2,FWD,111,8
1,MID,112,9
1,MID,113,9
2,DEF,114,9
3,FWD,115,9
4,FWD,116,9
5,DEF,117,9
6,FWD,118,9
7,FWD,119,9
8,FWD,120,9
9,FWD,121,9
10,FWD,122,9
11,DEF,123,9
12,DEF,124,9
13,DEF,125,9
14,FWD,126,10
14,MID,127,10
13,DEF,128,10
12,MID,129,10
11,MID,130,10
10,FWD,131,10
9,DEF,132,10
8,FWD,133,10
7,MID,134,10
6,DEF,135,10
5,MID,136,10
4,DEF,137,10
3,DEF,138,10
2,MID,139,10
1,FWD,140,11
1,FWD,141,11
2,FWD,142,11
3,DEF,143,11
4,DEF,144,11
5,MID,145,11
6,MID,146,11
7,DEF,147,11
8,MID,148,11
9,FWD,149,11
10,MID,150,11
11,MID,151,11
12,FWD,152,11
13,DEF,153,11
14,FWD,154,12
14,FWD,155,12
13,FWD,156,12
12,MID,157,12
11,FWD,158,12
10,FWD,159,12
9,DEF,160,12
8,MID,161,12
7,MID,162,12
6,DEF,163,12
5,RUC,164,12
4,RUC,165,12
3,DEF,166,12
2,FWD,167,12
1,FWD,168,13
1,MID,169,13
2,DEF,170,13
3,MID,171,13
4,RUC,172,13
5,DEF,173,13
6,FWD,174,13
7,DEF,175,13
8,DEF,176,13
9,FWD,177,13
10,DEF,178,13
11,DEF,179,13
12,FWD,180,13
13,DEF,181,13
14,DEF,182,14
14,DEF,183,14
13,FWD,184,14
12,DEF,185,14
11,FWD,186,14
10,DEF,187,14
9,RUC,188,14
8,DEF,189,14
7,DEF,190,14
6,DEF,191,14
5,DEF,192,14
4,FWD,193,14
3,FWD,194,14
2,FWD,195,14
1,DEF,196,15
1,DEF,197,15
2,MID,198,15
3,MID,199,15
4,DEF,200,15
5,FWD,201,15
6,MID,202,15
7,DEF,203,15
8,DEF,204,15
9,FWD,205,15
10,FWD,206,15
11,MID,207,15
12,FWD,208,15
13,FWD,209,15
14,MID,210,16
14,DEF,211,16
13,DEF,212,16
12,FWD,213,16
11,FWD,214,16
10,DEF,215,16
9,FWD,216,16
8,DEF,217,16
7,FWD,218,16
6,FWD,219,16
5,FWD,220,16
4,FWD,221,16
3,DEF,222,16
2,DEF,223,16
1,FWD,224,17
1,FWD,225,17
2,FWD,226,17
3,MID,227,17
4,DEF,228,17
5,FWD,229,17
6,FWD,230,17
7,RUC,231,17
8,FWD,232,17
9,FWD,233,17
10,MID,234,17
11,MID,235,17
12,DEF,236,17
13,DEF,237,17
14,DEF,238,18
14,FWD,239,18
13,DEF,240,18
12,FWD,241,18
11,FWD,242,18
10,FWD,243,18
9,FWD,244,18
8,DEF,245,18
7,DEF,246,18
6,FWD,247,18
5,FWD,248,18
4,DEF,249,18
3,DEF,250,18
2,FWD,251,18
1,DEF,252,19
1,FWD,253,19
2,FWD,254,19
3,RUC,255,19
4,MID,256,19
5,RUC,257,19
6,FWD,258,19
7,FWD,259,19
8,MID,260,19
9,DEF,261,19
10,DEF,262,19
11,MID,263,19
12,DEF,264,19
13,DEF,265,19
14,MID,266,20
14,FWD,267,20
13,DEF,268,20
12,FWD,269,20
11,FWD,270,20
10,DEF,271,20
9,DEF,272,20
8,MID,273,20
7,DEF,274,20
6,FWD,275,20
5,FWD,276,20
4,RUC,277,20
3,DEF,278,20
2,DEF,279,20
1,DEF,280,21
1,FWD,281,21
2,DEF,282,21
3,MID,283,21
4,FWD,284,21
5,MID,285,21
6,FWD,286,21
7,DEF,287,21
8,FWD,288,21
9,MID,289,21
10,RUC,290,21
11,MID,291,21
12,MID,292,21
13,RUC,293,21
14,MID,294,22
14,DEF,295,22
13,MID,296,22
12,MID,297,22
11,RUC,298,22
10,DEF,299,22
9,DEF,300,22
8,DEF,301,22
7,MID,302,22
6,RUC,303,22
5,DEF,304,22
4,DEF,305,22
3,FWD,306,22
2,FWD,307,22
1,DEF,308,22